week_start,region,campaign,spend,impressions,clicks
2025-09-08,East Region,Display Prospecting,1030,245238,6881
2025-09-08,North Region,Always-on Search,4509,1073571,26622
2025-09-08,North Region,Social Retargeting,3049,725952,25825
2025-09-08,North Region,Email Re-engagement,1593,379285,9515
2025-09-08,North Region,Display Prospecting,951,226428,6177
2025-09-15,East Region,Always-on Search,4425,1053571,32641
2025-09-15,East Region,Social Retargeting,2918,694761,20347
2025-09-15,East Region,Email Re-engagement,1539,366428,9266
2025-09-15,East Region,Display Prospecting,986,234761,6790
2025-09-15,North Region,Always-on Search,4851,1155000,33890
2025-09-15,North Region,Social Retargeting,3104,739047,20172
2025-09-15,North Region,Email Re-engagement,1403,334047,8265
2025-09-15,North Region,Display Prospecting,1018,242380,5426
2025-09-22,East Region,Always-on Search,4548,1082857,32461
2025-09-22,East Region,Social Retargeting,3207,763571,16145
2025-09-22,East Region,Email Re-engagement,1374,327142,9032
2025-09-22,East Region,Display Prospecting,979,233095,6131
2025-09-22,North Region,Always-on Search,4365,1039285,22048
2025-09-22,North Region,Social Retargeting,3016,718095,27540
2025-09-22,North Region,Email Re-engagement,1674,398571,9384
2025-09-22,North Region,Display Prospecting,1133,269761,7110
2025-09-29,East Region,Always-on Search,4271,1016904,28346
2025-09-29,East Region,Social Retargeting,2868,682857,16855
2025-09-29,East Region,Email Re-engagement,1446,344285,10116
2025-09-29,East Region,Display Prospecting,1055,251190,5285
2025-09-29,North Region,Always-on Search,4526,1077619,40078
2025-09-29,North Region,Social Retargeting,3089,735476,19994
2025-09-29,North Region,Email Re-engagement,1502,357619,8894
2025-09-29,North Region,Display Prospecting,985,234523,5964
2025-10-06,East Region,Always-on Search,4640,1104761,33598
2025-10-06,East Region,Social Retargeting,2820,671428,15585
2025-10-06,East Region,Email Re-engagement,1582,376666,9803
2025-10-06,East Region,Display Prospecting,1053,250714,8265
2025-10-06,North Region,Always-on Search,4775,1136904,28507
2025-10-06,North Region,Social Retargeting,3280,780952,23253
2025-10-06,North Region,Email Re-engagement,1613,384047,6486
2025-10-06,North Region,Display Prospecting,953,226904,6498
2025-10-13,East Region,Always-on Search,4792,1140952,29400
2025-10-13,East Region,Social Retargeting,3005,715476,23424
2025-10-13,East Region,Email Re-engagement,1328,316190,11189
2025-10-13,East Region,Display Prospecting,921,219285,5717
2025-10-13,North Region,Always-on Search,4479,1066428,36845
2025-10-13,North Region,Social Retargeting,3123,743571,17307
2025-10-13,North Region,Email Re-engagement,1646,391904,9510
2025-10-13,North Region,Display Prospecting,1021,243095,5736
2025-10-20,East Region,Always-on Search,4817,1146904,33284
2025-10-20,East Region,Social Retargeting,2709,645000,19073
2025-10-20,East Region,Email Re-engagement,1574,374761,8221
2025-10-20,East Region,Display Prospecting,958,228095,6807
2025-10-20,North Region,Always-on Search,4356,1037142,22647
2025-10-20,North Region,Social Retargeting,3086,734761,22185
2025-10-20,North Region,Email Re-engagement,1434,341428,11937
2025-10-20,North Region,Display Prospecting,992,236190,9456
2025-10-27,East Region,Always-on Search,4386,1044285,28839
2025-10-27,East Region,Social Retargeting,3129,745000,22942
2025-10-27,East Region,Email Re-engagement,1596,380000,11773
2025-10-27,East Region,Display Prospecting,985,234523,6334
2025-10-27,North Region,Always-on Search,4804,1143809,23315
2025-10-27,North Region,Social Retargeting,3196,760952,18207
2025-10-27,North Region,Email Re-engagement,1518,361428,11800
2025-10-27,North Region,Display Prospecting,911,216904,5897
2025-11-03,East Region,Always-on Search,5119,1218809,32349
2025-11-03,East Region,Social Retargeting,3254,774761,16616
2025-11-03,East Region,Email Re-engagement,1681,400238,11797
2025-11-03,East Region,Display Prospecting,1179,280714,9255
2025-11-03,North Region,Always-on Search,5127,1220714,29474
2025-11-03,North Region,Social Retargeting,3504,834285,26150
2025-11-03,North Region,Email Re-engagement,1887,449285,11442
2025-11-03,North Region,Display Prospecting,990,235714,5857
2025-11-10,East Region,Always-on Search,4946,1177619,30301
2025-11-10,East Region,Social Retargeting,3350,797619,21858
2025-11-10,East Region,Email Re-engagement,1435,341666,9701
2025-11-10,East Region,Display Prospecting,1189,283095,7102
2025-11-10,North Region,Always-on Search,4600,1095238,32225
2025-11-10,North Region,Social Retargeting,3513,836428,22285
2025-11-10,North Region,Email Re-engagement,1773,422142,10978
2025-11-10,North Region,Display Prospecting,1195,284523,7849
2025-11-17,East Region,Always-on Search,5033,1198333,25479
2025-11-17,East Region,Social Retargeting,3319,790238,27049
2025-11-17,East Region,Email Re-engagement,1896,451428,14203
2025-11-17,East Region,Display Prospecting,1106,263333,6227
2025-11-17,North Region,Always-on Search,4579,1090238,28844
2025-11-17,North Region,Social Retargeting,3818,909047,32908
2025-11-17,North Region,Email Re-engagement,1698,404285,8990
2025-11-17,North Region,Display Prospecting,1173,279285,9848
2025-11-24,East Region,Always-on Search,4611,1097857,29316
2025-11-24,East Region,Social Retargeting,3293,784047,20320
2025-11-24,East Region,Email Re-engagement,1680,400000,11065
2025-11-24,East Region,Display Prospecting,1122,267142,8416
2025-11-24,North Region,Always-on Search,5427,1292142,36739
2025-11-24,North Region,Social Retargeting,3097,737380,21634
2025-11-24,North Region,Email Re-engagement,1816,432380,10106
2025-11-24,North Region,Display Prospecting,1162,276666,9816
2025-12-01,East Region,Always-on Search,5567,1325476,44235
2025-12-01,East Region,Social Retargeting,3702,881428,18910
2025-12-01,East Region,Email Re-engagement,1683,400714,10477
2025-12-01,East Region,Display Prospecting,1237,294523,8663
2025-12-01,North Region,Always-on Search,5763,1372142,45194
2025-12-01,North Region,Social Retargeting,3385,805952,19181
2025-12-01,North Region,Email Re-engagement,1756,418095,13880
2025-12-01,North Region,Display Prospecting,1350,321428,8851
2025-12-08,East Region,Always-on Search,5439,1295000,35916
2025-12-08,East Region,Social Retargeting,3495,832142,19913
2025-12-08,East Region,Email Re-engagement,1798,428095,11561
2025-12-08,East Region,Display Prospecting,1220,290476,9734
2025-12-08,North Region,Always-on Search,5317,1265952,41641
2025-12-08,North Region,Social Retargeting,3915,932142,27271
2025-12-08,North Region,Email Re-engagement,1525,363095,12014
2025-12-08,North Region,Display Prospecting,1256,299047,7516
2025-12-15,East Region,Always-on Search,5346,1272857,35355
2025-12-15,East Region,Social Retargeting,3639,866428,25359
2025-12-15,East Region,Email Re-engagement,1714,408095,10076
2025-12-15,East Region,Display Prospecting,1231,293095,7419
2025-12-15,North Region,Always-on Search,5700,1357142,36157
2025-12-15,North Region,Social Retargeting,3304,786666,24172
2025-12-15,North Region,Email Re-engagement,1947,463571,12918
2025-12-15,North Region,Display Prospecting,1184,281904,7312
2025-12-22,East Region,Always-on Search,5499,1309285,30728
2025-12-22,East Region,Social Retargeting,3798,904285,34797
2025-12-22,East Region,Email Re-engagement,1911,455000,13642
2025-12-22,East Region,Display Prospecting,1160,276190,8732
2025-12-22,North Region,Always-on Search,4670,1111904,34213
2025-12-22,North Region,Social Retargeting,3723,886428,29516
2025-12-22,North Region,Email Re-engagement,1879,447380,12380
2025-12-22,North Region,Display Prospecting,1380,328571,8152
2025-12-29,East Region,Always-on Search,5486,1306190,40213
2025-12-29,East Region,Social Retargeting,3507,835000,20941
2025-12-29,East Region,Email Re-engagement,2080,495238,15210
2025-12-29,East Region,Display Prospecting,1334,317619,8056
2025-12-29,North Region,Always-on Search,5268,1254285,36895
2025-12-29,North Region,Social Retargeting,3547,844523,24773
2025-12-29,North Region,Email Re-engagement,1732,412380,11842
2025-12-29,North Region,Display Prospecting,1254,298571,9397
2026-01-05,East Region,Always-on Search,3332,793333,26471
2026-01-05,East Region,Social Retargeting,2240,533333,13801
2026-01-05,East Region,Email Re-engagement,1267,301666,8559
2026-01-05,East Region,Display Prospecting,710,169047,4551
2026-01-05,North Region,Always-on Search,3057,727857,20600
2026-01-05,North Region,Social Retargeting,2270,540476,12987
2026-01-05,North Region,Email Re-engagement,1153,274523,5395
2026-01-05,North Region,Display Prospecting,715,170238,4142
2026-01-12,East Region,Always-on Search,3455,822619,25804
2026-01-12,East Region,Social Retargeting,2187,520714,9496
2026-01-12,East Region,Email Re-engagement,1236,294285,6846
2026-01-12,East Region,Display Prospecting,715,170238,3969
2026-01-12,North Region,Always-on Search,3564,848571,21412
2026-01-12,North Region,Social Retargeting,2320,552380,17197
2026-01-12,North Region,Email Re-engagement,1103,262619,6781
2026-01-12,North Region,Display Prospecting,818,194761,5365
2026-01-19,East Region,Always-on Search,3157,751666,20804
2026-01-19,East Region,Social Retargeting,2053,488809,11634
2026-01-19,East Region,Email Re-engagement,1081,257380,7020
2026-01-19,East Region,Display Prospecting,739,175952,4206
2026-01-19,North Region,Always-on Search,3301,785952,20073
2026-01-19,North Region,Social Retargeting,2196,522857,13922
2026-01-19,North Region,Email Re-engagement,1062,252857,6686
2026-01-19,North Region,Display Prospecting,718,170952,4642
2026-01-26,East Region,Always-on Search,3323,791190,15056
2026-01-26,East Region,Social Retargeting,1955,465476,12735
2026-01-26,East Region,Email Re-engagement,1059,252142,7068
2026-01-26,East Region,Display Prospecting,680,161904,5035
2026-01-26,North Region,Always-on Search,3529,840238,25478
2026-01-26,North Region,Social Retargeting,2288,544761,13618
2026-01-26,North Region,Email Re-engagement,1142,271904,7758
2026-01-26,North Region,Display Prospecting,742,176666,4105
2026-02-02,East Region,Always-on Search,2977,708809,20177
2026-02-02,East Region,Social Retargeting,2237,532619,10643
2026-02-02,East Region,Email Re-engagement,1174,279523,8196
2026-02-02,East Region,Display Prospecting,802,190952,6215
2026-02-02,North Region,Always-on Search,3147,749285,22447
2026-02-02,North Region,Social Retargeting,2549,606904,21681
2026-02-02,North Region,Email Re-engagement,1240,295238,8285
2026-02-02,North Region,Display Prospecting,790,188095,5323
2026-02-09,East Region,Always-on Search,3285,782142,24532
2026-02-09,East Region,Social Retargeting,2522,600476,16129
2026-02-09,East Region,Email Re-engagement,1181,281190,6823
2026-02-09,East Region,Display Prospecting,841,200238,6661
2026-02-09,North Region,Always-on Search,3143,748333,19684
2026-02-09,North Region,Social Retargeting,2207,525476,10003
2026-02-09,North Region,Email Re-engagement,1097,261190,6127
2026-02-09,North Region,Display Prospecting,836,199047,6408
2026-02-16,East Region,Always-on Search,3448,820952,28668
2026-02-16,East Region,Social Retargeting,2240,533333,14786
2026-02-16,East Region,Email Re-engagement,1190,283333,6811
2026-02-16,East Region,Display Prospecting,805,191666,5737
2026-02-16,North Region,Always-on Search,3320,790476,23044
2026-02-16,North Region,Social Retargeting,2326,553809,15039
2026-02-16,North Region,Email Re-engagement,1227,292142,8678
2026-02-16,North Region,Display Prospecting,701,166904,4301
2026-02-23,East Region,Always-on Search,3648,868571,28701
2026-02-23,East Region,Social Retargeting,2207,525476,11821
2026-02-23,East Region,Email Re-engagement,1148,273333,8003
2026-02-23,East Region,Display Prospecting,766,182380,4952
2026-02-23,North Region,Always-on Search,3808,906666,23190
2026-02-23,North Region,Social Retargeting,2325,553571,10898
2026-02-23,North Region,Email Re-engagement,1052,250476,5362
2026-02-23,North Region,Display Prospecting,727,173095,3615
2026-03-02,East Region,Always-on Search,3851,916904,35610
2026-03-02,East Region,Social Retargeting,2773,660238,18362
2026-03-02,East Region,Email Re-engagement,1390,330952,7685
2026-03-02,East Region,Display Prospecting,905,215476,6052
2026-03-02,North Region,Always-on Search,4091,974047,24156
2026-03-02,North Region,Social Retargeting,2566,610952,15505
2026-03-02,North Region,Email Re-engagement,1272,302857,8804
2026-03-02,North Region,Display Prospecting,862,205238,6086
2026-03-09,East Region,Always-on Search,4197,999285,28289
2026-03-09,East Region,Social Retargeting,2605,620238,17872
2026-03-09,East Region,Email Re-engagement,1265,301190,8827
2026-03-09,East Region,Display Prospecting,832,198095,5177
2026-03-09,North Region,Always-on Search,3537,842142,22733
2026-03-09,North Region,Social Retargeting,2486,591904,19794
2026-03-09,North Region,Email Re-engagement,1254,298571,8995
2026-03-09,North Region,Display Prospecting,947,225476,5364
2026-03-16,East Region,Always-on Search,4297,1023095,30347
2026-03-16,East Region,Social Retargeting,2529,602142,16213
2026-03-16,East Region,Email Re-engagement,1178,280476,9436
2026-03-16,East Region,Display Prospecting,857,204047,5862
2026-03-16,North Region,Always-on Search,4003,953095,30070
2026-03-16,North Region,Social Retargeting,2636,627619,18279
2026-03-16,North Region,Email Re-engagement,1298,309047,6873
2026-03-16,North Region,Display Prospecting,1017,242142,7230
2026-03-23,East Region,Always-on Search,3951,940714,19367
2026-03-23,East Region,Social Retargeting,2514,598571,20577
2026-03-23,East Region,Email Re-engagement,1364,324761,10354
2026-03-23,East Region,Display Prospecting,813,193571,5870
2026-03-23,North Region,Always-on Search,3695,879761,31562
2026-03-23,North Region,Social Retargeting,2394,570000,17574
2026-03-23,North Region,Email Re-engagement,1356,322857,8535
2026-03-23,North Region,Display Prospecting,872,207619,7315
2026-03-30,East Region,Always-on Search,3857,918333,23592
2026-03-30,East Region,Social Retargeting,2556,608571,11414
2026-03-30,East Region,Email Re-engagement,1332,317142,10460
2026-03-30,East Region,Display Prospecting,894,212857,4817
2026-03-30,North Region,Always-on Search,4167,992142,24621
2026-03-30,North Region,Social Retargeting,2235,532142,12487
2026-03-30,North Region,Email Re-engagement,1187,282619,8214
2026-03-30,North Region,Display Prospecting,895,213095,6770
2026-04-06,East Region,Always-on Search,3772,898095,30264
2026-04-06,East Region,Social Retargeting,2801,666904,18187
2026-04-06,East Region,Email Re-engagement,1283,305476,9323
2026-04-06,East Region,Display Prospecting,936,222857,6825
2026-04-06,North Region,Always-on Search,3964,943809,32077
2026-04-06,North Region,Social Retargeting,2511,597857,16228
2026-04-06,North Region,Email Re-engagement,1408,335238,9214
2026-04-06,North Region,Display Prospecting,968,230476,5214
2026-04-13,East Region,Always-on Search,3995,951190,21452
2026-04-13,East Region,Social Retargeting,2880,685714,20198
2026-04-13,East Region,Email Re-engagement,1273,303095,8715
2026-04-13,East Region,Display Prospecting,836,199047,6420
2026-04-13,North Region,Always-on Search,4314,1027142,29310
2026-04-13,North Region,Social Retargeting,2537,604047,19823
2026-04-13,North Region,Email Re-engagement,1356,322857,8910
2026-04-13,North Region,Display Prospecting,896,213333,6087
2026-04-20,East Region,Always-on Search,4229,1006904,28923
2026-04-20,East Region,Social Retargeting,2939,699761,23122
2026-04-20,East Region,Email Re-engagement,1260,300000,9567
2026-04-20,East Region,Display Prospecting,962,229047,7442
2026-04-20,North Region,Always-on Search,4256,1013333,31120
2026-04-20,North Region,Social Retargeting,3149,749761,24384
2026-04-20,North Region,Email Re-engagement,1329,316428,9645
2026-04-20,North Region,Display Prospecting,979,233095,7737
2026-04-27,East Region,Always-on Search,4085,972619,31276
2026-04-27,East Region,Social Retargeting,2832,674285,15752
2026-04-27,East Region,Email Re-engagement,1373,326904,13297
2026-04-27,East Region,Display Prospecting,900,214285,6557
2026-04-27,North Region,Always-on Search,3923,934047,30968
2026-04-27,North Region,Social Retargeting,2597,618333,15165
2026-04-27,North Region,Email Re-engagement,1452,345714,8397
2026-04-27,North Region,Display Prospecting,854,203333,4979
2026-05-04,East Region,Always-on Search,4279,1018809,26946
2026-05-04,East Region,Social Retargeting,3034,722380,23538
2026-05-04,East Region,Email Re-engagement,1577,375476,12367
2026-05-04,East Region,Display Prospecting,935,222619,4838
2026-05-04,North Region,Always-on Search,4321,1028809,30801
2026-05-04,North Region,Social Retargeting,2812,669523,15145
2026-05-04,North Region,Email Re-engagement,1369,325952,7997
2026-05-04,North Region,Display Prospecting,952,226666,8343
2026-05-11,East Region,Always-on Search,4425,1053571,27376
2026-05-11,East Region,Social Retargeting,3023,719761,20170
2026-05-11,East Region,Email Re-engagement,1501,357380,9437
2026-05-11,East Region,Display Prospecting,993,236428,5898
2026-05-11,North Region,Always-on Search,4558,1085238,28802
2026-05-11,North Region,Social Retargeting,3138,747142,18760
2026-05-11,North Region,Email Re-engagement,1398,332857,8087
2026-05-11,North Region,Display Prospecting,929,221190,6797
2026-05-18,East Region,Always-on Search,4080,971428,29483
2026-05-18,East Region,Social Retargeting,2896,689523,18284
2026-05-18,East Region,Email Re-engagement,1341,319285,7477
2026-05-18,East Region,Display Prospecting,986,234761,7938
2026-05-18,North Region,Always-on Search,4849,1154523,30582
2026-05-18,North Region,Social Retargeting,3010,716666,22445
2026-05-18,North Region,Email Re-engagement,1641,390714,11709
2026-05-18,North Region,Display Prospecting,969,230714,6851
2026-05-25,East Region,Always-on Search,3805,905952,28595
2026-05-25,East Region,Social Retargeting,2873,684047,19285
2026-05-25,East Region,Email Re-engagement,1566,372857,12273
2026-05-25,East Region,Display Prospecting,1034,246190,7546
2026-05-25,North Region,Always-on Search,4210,1002380,26250
2026-05-25,North Region,Social Retargeting,2868,682857,17334
2026-05-25,North Region,Email Re-engagement,1435,341666,11050
2026-05-25,North Region,Display Prospecting,876,208571,4504
2026-06-01,East Region,Always-on Search,4942,1176666,43437
2026-06-01,East Region,Social Retargeting,3034,722380,18573
2026-06-01,East Region,Email Re-engagement,1451,345476,11093
2026-06-01,East Region,Display Prospecting,1019,242619,7166
2026-06-01,North Region,Always-on Search,4126,982380,22928
2026-06-01,North Region,Social Retargeting,3499,833095,24193
2026-06-01,North Region,Email Re-engagement,1413,336428,9455
2026-06-01,North Region,Display Prospecting,903,215000,7020
2026-06-08,East Region,Always-on Search,4613,1098333,29562
2026-06-08,East Region,Social Retargeting,3215,765476,23228
2026-06-08,East Region,Email Re-engagement,1738,413809,11496
2026-06-08,East Region,Display Prospecting,952,226666,6990
2026-06-08,North Region,Always-on Search,4813,1145952,36823
2026-06-08,North Region,Social Retargeting,3171,755000,17800
2026-06-08,North Region,Email Re-engagement,1493,355476,11998
2026-06-08,North Region,Display Prospecting,1011,240714,6105
2026-06-15,East Region,Always-on Search,4562,1086190,23612
2026-06-15,East Region,Social Retargeting,2819,671190,18277
2026-06-15,East Region,Email Re-engagement,1405,334523,9729
2026-06-15,East Region,Display Prospecting,999,237857,4993
2026-06-15,North Region,Always-on Search,4359,1037857,26936
2026-06-15,North Region,Social Retargeting,3200,761904,18689
2026-06-15,North Region,Email Re-engagement,1449,345000,11049
2026-06-15,North Region,Display Prospecting,1079,256904,8190
2026-06-22,East Region,Always-on Search,4635,1103571,31610
2026-06-22,East Region,Social Retargeting,3289,783095,19704
2026-06-22,East Region,Email Re-engagement,1388,330476,9232
2026-06-22,East Region,Display Prospecting,1000,238095,6605
2026-06-22,North Region,Always-on Search,4378,1042380,34713
2026-06-22,North Region,Social Retargeting,3108,740000,20310
2026-06-22,North Region,Email Re-engagement,1561,371666,10268
2026-06-22,North Region,Display Prospecting,1010,240476,6124
2026-06-29,East Region,Always-on Search,3835,913095,29916
2026-06-29,East Region,Social Retargeting,3320,790476,22959
2026-06-29,East Region,Email Re-engagement,1610,383333,10186
2026-06-29,East Region,Display Prospecting,1011,240714,7626
2026-06-29,North Region,Always-on Search,4401,1047857,28833
2026-06-29,North Region,Social Retargeting,2735,651190,17241
2026-06-29,North Region,Email Re-engagement,1453,345952,10835
2026-06-29,North Region,Display Prospecting,1067,254047,7318
2026-07-06,East Region,Always-on Search,5073,1207857,32146
2026-07-06,East Region,Social Retargeting,2806,668095,17949
2026-07-06,East Region,Email Re-engagement,1539,366428,12214
2026-07-06,East Region,Display Prospecting,1130,269047,8151
2026-07-06,North Region,Always-on Search,4739,1128333,39640
2026-07-06,North Region,Social Retargeting,2887,687380,15374
2026-07-06,North Region,Email Re-engagement,1612,383809,12289
2026-07-06,North Region,Display Prospecting,965,229761,7606
2026-07-13,East Region,Always-on Search,4852,1155238,29444
2026-07-13,East Region,Social Retargeting,3111,740714,21349
2026-07-13,East Region,Email Re-engagement,1412,336190,6499
2026-07-13,East Region,Display Prospecting,1047,249285,6670
2026-07-13,North Region,Always-on Search,4817,1146904,31932
2026-07-13,North Region,Social Retargeting,3079,733095,24315
2026-07-13,North Region,Email Re-engagement,1642,390952,12194
2026-07-13,North Region,Display Prospecting,976,232380,8523
2026-07-20,East Region,Always-on Search,4738,1128095,27980
2026-07-20,East Region,Social Retargeting,3372,802857,22908
2026-07-20,East Region,Email Re-engagement,1517,361190,9413
2026-07-20,East Region,Display Prospecting,1086,258571,6782
2026-07-20,North Region,Always-on Search,4281,1019285,28773
2026-07-20,North Region,Social Retargeting,3168,754285,17960
2026-07-20,North Region,Email Re-engagement,1445,344047,9428
2026-07-20,North Region,Display Prospecting,1039,247380,6325
2026-07-27,East Region,Always-on Search,4779,1137857,31404
2026-07-27,East Region,Social Retargeting,3241,771666,22404
2026-07-27,East Region,Email Re-engagement,1554,370000,11669
2026-07-27,East Region,Display Prospecting,927,220714,6648
2026-07-27,North Region,Always-on Search,4971,1183571,22637
2026-07-27,North Region,Social Retargeting,2998,713809,22156
2026-07-27,North Region,Email Re-engagement,1423,338809,7822
2026-07-27,North Region,Display Prospecting,1042,248095,8044
2026-08-03,East Region,Always-on Search,4464,1062857,42041
2026-08-03,East Region,Social Retargeting,2966,706190,19364
2026-08-03,East Region,Email Re-engagement,1577,375476,10377
2026-08-03,East Region,Display Prospecting,964,229523,7037
2026-08-03,North Region,Always-on Search,4580,1090476,33356
2026-08-03,North Region,Social Retargeting,3302,786190,20910
2026-08-03,North Region,Email Re-engagement,1523,362619,10688
2026-08-03,North Region,Display Prospecting,1027,244523,4466
2026-08-10,East Region,Always-on Search,4665,1110714,28724
2026-08-10,East Region,Social Retargeting,2967,706428,17029
2026-08-10,East Region,Email Re-engagement,1503,357857,9557
2026-08-10,East Region,Display Prospecting,946,225238,6555
2026-08-10,North Region,Always-on Search,4449,1059285,24906
2026-08-10,North Region,Social Retargeting,3489,830714,24073
2026-08-10,North Region,Email Re-engagement,1579,375952,9306
2026-08-10,North Region,Display Prospecting,1008,240000,7599
2026-08-17,East Region,Always-on Search,4884,1162857,33991
2026-08-17,East Region,Social Retargeting,3133,745952,22782
